iati_identifier,title_narrative,reporting_org_narrative,description_narrative_xml_lang,description_narrative,recipient_country_code,recipient_region_code,location_name_narrative,activity_status_code,document_link_url,last_updated_datetime,activity_date_type,activity_date_iso_date,sector_code,sector_narrative,sector_vocabulary,tag_code,tag_narrative,tag_vocabulary,policy_marker_code,policy_marker_narrative,policy_marker_code,default_aid_type_code
GB-CHC-202918-KENC33,['Protracted Relief & Recovery Operation (Phase 4) and Cash Pilot in Turkana'],['Oxfam GB'],,"['The projects supports food aid delivery to 221700 beneficiaries in Turkana north (North and Turkana west districts) and Turkana central (central and Loima districts) - i.e., 112,300 and 109,400  beneficiaries in Turkana north and Turkana central  respectively. These beneficiaries will be entitled to food aid (cereals, pulses, Corn soya blend and veg. oil) on a monthly basis.    The second phase has incorporated and out of  51,790 beneficiaries (app. 8,000 h/holds) pilot cash intervention will be for 600 households.']",['KE'],,,3,,2016-09-15T10:45:51Z,"['2', '4']","['2012-05-01T00:00:00Z', '2013-03-31T00:00:00Z']",['3'],['Life and Security'],['99'],,,,,,,
GB-CHC-202918-KENC34,['Protracted Relief & Recovery Operation IV -Turkana North & Central-Goods In Kind'],['Oxfam GB'],,"['The project target direct delivery of food aid to the vulnerable people in 4 districts in Turkana.  Food aid will help the families improve nutrition level at the household level and increases the chances of protecting the few key assets they own for future resilience to natural hazards.  The second phase will have food aid to 51,790 beneficiaries (app. 8,000 h/holds) and 600 households targeted for cash transfer piot.  WFP will carry out monthly marketing monitoring and beneficiary verification.']",['KE'],,,3,,2016-09-27T13:02:02Z,"['2', '4']","['2012-05-01T00:00:00Z', '2013-03-31T00:00:00Z']",['3'],['Life and Security'],['99'],,,,,,,
GB-CHC-202918-KENC19,['Dadaab - Emergency WASH Scale up in Ifo extension and Kambios camps'],['Oxfam GB'],,"['Provision of water and sanitation facilities and implementation of complementary hygiene promotion activities to support the first phase set up of Kambios and Ifo 3 refugee camps, which are planned to accommodate 40,000 and 60,000 people respectively.  This will commence with emergency water trucking until borehole drilling and construction of an emergency water reticulation system can be developed in both areas.']",['KE'],,,3,,2016-09-29T13:45:15Z,"['2', '4']","['2011-07-15T00:00:00Z', '2012-07-15T00:00:00Z']",['3'],['Life and Security'],['99'],,,,,,,
GB-CHC-202918-KENB99,['Protracted Relief & Recovery Operation- Support toTurkana Central Implementation'],['Oxfam GB'],,"['The insignificant performance of 2009 -2010 rainfall coupled with the incomplete selection process of the lead agency in Turkana Central, made the targeted vulnerable people miss 3 cycles in a row.  In the light of this,WFP and Oxfam are engaged in a contract for provision of support for distribution of food commodities in Turkana central district. Oxfam will provide the required services of field monitors, field supervisors, tally clerks, and storekeepers and will also support transport of WFP commodities in Turkana central districts. A total of 112000 beneficiaries will be supported for 2 months. WFP takes the lead role in food distribution.']",['KE'],,,3,,2016-08-24T16:14:02Z,"['2', '4']","['2010-10-01T00:00:00Z', '2011-03-31T00:00:00Z']","['1', '3']","['A Sustainable Livelihood', 'Life and Security']","['99', '99']",,,,,,,
GB-CHC-202918-KENC36,['Strengthening Resilience and Emergency Preparedness in Arid Lands of Kenya-III'],['Oxfam GB'],,"['Oxfam is lead agency in a consortium of 5 INGOs implementing Phase 3 of the La Nina project aimed at taking forward achievements made during the phase 2 targeting the vulnerable households to maintain food security and access to basic needs.  The project will work with communities to improve their food security, peace and security, animal health and water access.   Focus will be on cash injections into the local economy by cash transfer, livestock assets of drought affected vulnerable households, animal health and livestock protection, water access and peace activities.']",['KE'],,,3,,2016-09-27T13:02:47Z,"['2', '4']","['2012-07-01T00:00:00Z', '2013-03-31T00:00:00Z']","['1', '3', '5']","['A Sustainable Livelihood', 'Life and Security', 'Right to Equity: Gender and Diversity']","['99', '99', '99']",,,,,,,
GB-CHC-202918-KENC38,"['Strengthening Resilience and Emergency Preparedness In Arid Lands, Turkana']",['Oxfam GB'],,"['The project will; Market analysis, identification and strenghtening of producers/marketing organizations involving atleast 50% women,engaging keyprivate sector actors,extension of social protection mechanism, evidence -based business case for investment and value chain learning.']",['KE'],,,3,,2016-08-24T16:15:54Z,"['2', '4']","['2012-07-01T00:00:00Z', '2013-03-31T00:00:00Z']","['1', '2', '3', '4', '5']","['A Sustainable Livelihood', 'Education and Health Care', 'Life and Security', 'Right to be Heard', 'Right to Equity: Gender and Diversity']","['99', '99', '99', '99', '99']",,,,,,,
GB-CHC-202918-KENC39,['Sustainable Livelihoods through Value Chain Development for Pastoral Communities'],['Oxfam GB'],,"['Building markets through investment in business services and in trader/producer organizations; influencing government policies to support the development of markets; working with government, private sector and local communities to ensure the project is sustainable both environmentally and economically.']",['KE'],,,3,,2016-08-24T16:16:07Z,"['2', '4']","['2012-12-11T00:00:00Z', '2013-03-31T00:00:00Z']","['1', '2', '3', '4', '5']","['A Sustainable Livelihood', 'Education and Health Care', 'Life and Security', 'Right to be Heard', 'Right to Equity: Gender and Diversity']","['99', '99', '99', '99', '99']",,,,,,,
GB-CHC-202918-KENC40,"['Supporting Alternative Livelihoods through Market and Trade in Turkana, Kenya']",['Oxfam GB'],,"['The project aims to improve the resilience of vulnerable communities by lessening the impacts of future food crises, by building on trade and business as an alternative livelihoods option. The proposed action also aims to improve the capacity of local traders to be actively involved in the humanitarian response to crises, specifically in the humanitarian food aid process, by targeting and strengthening the opportunities around fishing and trade in fish products.']",['KE'],,,3,,2016-09-15T10:46:51Z,"['2', '4']","['2012-09-01T00:00:00Z', '2013-03-31T00:00:00Z']","['1', '5']","['A Sustainable Livelihood', 'Right to Equity: Gender and Diversity']","['99', '99']",,,,,,,
GB-CHC-202918-KENC42,"['Livestocking Marketing Project in Turkana, Kenya']",['Oxfam GB'],,"['The project will Improve the capacity and coordination  of livestock producers, traders, and other stakeholders , Strengthen and improve the capacity of women groups, Improve market information and extension services, while creating effective and profitable linkages to terminal markets,Improve early warning systems, resilience, and response to disasters,support the provision of basic Livestock drug kits to traders through livestock marketing Associations,Rehabilitation of livestock sale yards and ramps and improve the point of sale outlets for livestock sales.']",['KE'],,,3,,2016-08-24T16:16:38Z,"['2', '4']","['2012-08-01T00:00:00Z', '2013-01-31T00:00:00Z']","['1', '5']","['A Sustainable Livelihood', 'Right to Equity: Gender and Diversity']","['99', '99']",,,,,,,
GB-CHC-202918-KENC43,['Registration of the population in the North & Central  part of Turkana District'],['Oxfam GB'],,"['The project emphasis will be to conduct household economy analysis (HEA) baseline to obtain relevant information for wealth ranking and for describing targeted groups; comprehensive information - and sensitisation campaign, global registration and verification of all individuals and households, together with collecting Global Positioning System (GPS) data, biometrics (fingerprints) and photos of future card holders followed by a wealth ranking exercise; finalise report to donor by July 2013.  Resources required – additional staff to carry out the registration, vehicles, and specialised communication equipment to carry out the exercise.']",['KE'],,,3,,2016-09-29T13:56:14Z,"['2', '4']","['2013-04-01T00:00:00Z', '2013-06-30T00:00:00Z']",['2'],['Education and Health Care'],['99'],,,,,,,
